         243322 function calls (214906 primitive calls) in 0.584 seconds

   Ordered by: cumulative time
   List reduced from 485 to 55 due to restriction <55>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.584    0.584 preprocess.py:84(process)
        6    0.001    0.000    0.572    0.095 profile_loader.py:22(call)
        1    0.001    0.001    0.321    0.321 loading.py:100(load_record_msa)
        5    0.002    0.000    0.249    0.050 utils.py:56(load_bytes)
        2    0.000    0.000    0.189    0.095 loading.py:78(_load_a3m_from_paths)
   1096/5    0.064    0.000    0.141    0.028 utils.py:59(_reconstruct_data)
        1    0.000    0.000    0.115    0.115 preprocess.py:281(get_crop_indices)
        1    0.000    0.000    0.110    0.110 msa.py:173(__init__)
        1    0.096    0.096    0.110    0.110 msa.py:328(_prepare_MSA)
        5    0.089    0.018    0.089    0.018 {method 'read' of 'zstandard.backend_c.ZstdDecompressionReader' objects}
        1    0.016    0.016    0.084    0.084 crop.py:8(crop_spatial_segment_token)
      622    0.002    0.000    0.077    0.000 _npyio_impl.py:308(load)
      622    0.039    0.000    0.073    0.000 format.py:762(read_array)
        1    0.002    0.002    0.064    0.064 loading.py:216(load_record_templates)
        2    0.000    0.000    0.061    0.031 loading.py:145(_load_template_by_key)
     2548    0.013    0.000    0.035    0.000 view.py:53(__init__)
        1    0.000    0.000    0.034    0.034 convert.py:575(make_batch)
        1    0.000    0.000    0.028    0.028 preprocess.py:352(_select_focus_atoms)
        1    0.002    0.002    0.028    0.028 utils.py:105(find_interface_residues)
      809    0.001    0.000    0.025    0.000 view.py:162(unique)
      410    0.001    0.000    0.022    0.000 view.py:126(to_residues)
      398    0.000    0.000    0.022    0.000 view.py:80(residues)
        1    0.000    0.000    0.021    0.021 load.py:220(load_cifmol)
        2    0.021    0.010    0.021    0.010 msa.py:118(cropped)
       12    0.000    0.000    0.018    0.002 view.py:256(extract)
        1    0.017    0.017    0.017    0.017 convert.py:90(to_msa_features)
      410    0.001    0.000    0.017    0.000 view.py:140(to_chains)
      397    0.000    0.000    0.017    0.000 view.py:85(chains)
     1218    0.001    0.000    0.017    0.000 view.py:166(new)
        5    0.000    0.000    0.017    0.003 __init__.py:299(loads)
        5    0.000    0.000    0.017    0.003 decoder.py:332(decode)
        5    0.017    0.003    0.017    0.003 decoder.py:343(raw_decode)
     3051    0.002    0.000    0.016    0.000 format.py:971(_read_bytes)
      622    0.003    0.000    0.016    0.000 format.py:604(_read_array_header)
        1    0.000    0.000    0.016    0.016 preprocess.py:258(_sample_msa)
        1    0.000    0.000    0.016    0.016 msa.py:737(sample_msa)
46187/23274    0.004    0.000    0.016    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.015    0.015 msa.py:642(sample)
        1    0.012    0.012    0.015    0.015 msa.py:585(_subsample_no_pairing)
     3673    0.014    0.000    0.014    0.000 {method 'read' of '_io.BytesIO' objects}
     3170    0.002    0.000    0.013    0.000 container.py:41(__len__)
        1    0.013    0.013    0.013    0.013 _kdtree.py:608(query_pairs)
      809    0.002    0.000    0.013    0.000 functools.py:961(__get__)
4761/4759    0.012    0.000    0.012    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      809    0.002    0.000    0.011    0.000 view.py:105(unique_indices)
      425    0.000    0.000    0.011    0.000 biomol.py:57(residues)
      622    0.001    0.000    0.011    0.000 ast.py:54(literal_eval)
     3170    0.006    0.000    0.011    0.000 container.py:43(<setcomp>)
      879    0.001    0.000    0.009    0.000 _arraysetops_impl.py:145(unique)
      961    0.001    0.000    0.008    0.000 fromnumeric.py:51(_wrapfunc)
        1    0.002    0.002    0.008    0.008 convert.py:133(to_reference_features)
        1    0.000    0.000    0.008    0.008 convert.py:174(to_structure_features)
     2767    0.001    0.000    0.008    0.000 fromnumeric.py:2477(any)
        5    0.007    0.001    0.008    0.002 _function_base_impl.py:5272(delete)
       36    0.000    0.000    0.008    0.000 view.py:158(get_container)
