run_key,run_label,step,epoch,epoch_from_420,diffusion_loss,distogram_loss,total_loss
biasnorm,AF3 atom pair bias baseline,42069,420,0,0.6909,1.258,1.419
biasnorm,AF3 atom pair bias baseline,42070,420,0,0.7046,1.201,1.445
biasnorm,AF3 atom pair bias baseline,42071,420,0,0.6988,1.25,1.435
biasnorm,AF3 atom pair bias baseline,42072,420,0,0.737,1.134,1.508
biasnorm,AF3 atom pair bias baseline,42073,420,0,0.7288,1.155,1.492
biasnorm,AF3 atom pair bias baseline,42074,420,0,0.7183,1.229,1.473
biasnorm,AF3 atom pair bias baseline,42075,420,0,0.7105,1.221,1.458
biasnorm,AF3 atom pair bias baseline,42076,420,0,0.7008,1.213,1.438
biasnorm,AF3 atom pair bias baseline,42077,420,0,0.7079,1.238,1.453
biasnorm,AF3 atom pair bias baseline,42078,420,0,0.7174,1.18,1.47
biasnorm,AF3 atom pair bias baseline,42079,420,0,0.7176,1.168,1.47
biasnorm,AF3 atom pair bias baseline,42080,420,0,0.6949,1.209,1.426
biasnorm,AF3 atom pair bias baseline,42081,420,0,0.7109,1.233,1.459
biasnorm,AF3 atom pair bias baseline,42082,420,0,0.7003,1.259,1.438
biasnorm,AF3 atom pair bias baseline,42083,420,0,0.6997,1.258,1.437
biasnorm,AF3 atom pair bias baseline,42084,420,0,0.7089,1.205,1.454
biasnorm,AF3 atom pair bias baseline,42085,420,0,0.7137,1.165,1.462
biasnorm,AF3 atom pair bias baseline,42086,420,0,0.7125,1.201,1.461
biasnorm,AF3 atom pair bias baseline,42087,420,0,0.7007,1.169,1.436
biasnorm,AF3 atom pair bias baseline,42088,420,0,0.6959,1.236,1.429
biasnorm,AF3 atom pair bias baseline,42089,420,0,0.7097,1.186,1.455
biasnorm,AF3 atom pair bias baseline,42090,420,0,0.7106,1.236,1.458
biasnorm,AF3 atom pair bias baseline,42091,420,0,0.7219,1.141,1.478
biasnorm,AF3 atom pair bias baseline,42092,420,0,0.7146,1.186,1.465
biasnorm,AF3 atom pair bias baseline,42093,420,0,0.715,1.178,1.465
biasnorm,AF3 atom pair bias baseline,42094,420,0,0.7085,1.196,1.453
biasnorm,AF3 atom pair bias baseline,42095,420,0,0.6991,1.158,1.433
biasnorm,AF3 atom pair bias baseline,42096,420,0,0.6941,1.203,1.424
biasnorm,AF3 atom pair bias baseline,42097,420,0,0.6995,1.179,1.434
biasnorm,AF3 atom pair bias baseline,42098,420,0,0.687,1.224,1.411
biasnorm,AF3 atom pair bias baseline,42099,420,0,0.7,1.16,1.435
biasnorm,AF3 atom pair bias baseline,42100,420,0,0.7056,1.179,1.447
biasnorm,AF3 atom pair bias baseline,42101,421,1,0.6823,1.192,1.4
